Supplier Name,Location,Category,Product,Transportation Mode,Transportation Route,Distribution Network,Emission Intensity (kg CO2/unit),Total Emissions (ton CO2),Fuel Consumption (liters),Energy Consumption (GJ),Sustainability Rating,Regulatory Impact,Year
Vertex Supply Partners,Saudi Arabia,Transportation,Tire,Air,Interstate 90 (I-90),Wholesalers,18.05,12.61,9749.26,329.93,4.6,High,2021
Eclipse Distributors,Denmark,Residential,Washing Machine,Truck,Port of Busan,Wholesalers,1.24,49.75,8137.33,395.07,5.6,Low,2019
Eclipse Enterprises,Australia,Residential,Heater,Truck,Hong Kong International Airport,Suppliers,17.85,34.32,4979.59,994.06,9.7,Low,2019
Vertex Industries,Turkey,Electric,Surge Protector,Truck,Port of Antwerp,Warehouses,3.66,24.64,6909.75,505.47,6.6,High,2023
Titan Supply Chain,Egypt,Industrial,Lathe,Train,Interstate 75 (I-75),Suppliers,8.53,29.4,5559.85,505.59,7.6,Medium,2023
Infinity Traders,Norway,Commercial,Cubicle Partition,Ship,Paris Orly Airport,Warehouses,17.7,10.83,2874.73,442.97,5.1,Medium,2018
Pinnacle Resources,Peru,Transportation,Car Battery,Air,Port of Los Angeles,Retailers,13.27,38.92,3059.8,120.29,6.3,High,2020
Zenith Logistics,Brazil,Electric,Smart Plug,Ship,Thalys Paris-Brussels,Wholesalers,7.45,3.16,2786.1,145.63,6.9,High,2019
Orion Trading Co.,Finland,Electric,Extension Cord,Train,Thalys Cologne-Paris,Warehouses,6.7,13.99,3797.82,150.29,4.9,High,2023
Horizon Distribution,Chile,Transportation,Alternator,Truck,Interstate 40 (I-40),Suppliers,11.4,47.45,4343.83,134.75,7.6,Medium,2022
Summit Procurement,Thailand,Residential,Dishwasher,Truck,Paris Orly Airport,Warehouses,10.85,16.56,2877.06,110.98,5.6,High,2018
Proxima Supply Co.,United Arab Emirates,Commercial,Office Desk,Truck,Interstate 15 (I-15),Wholesalers,10.88,26.12,8271.85,419.16,9.3,Low,2021
Orion Trading Co.,Finland,Electric,Electric Heater,Air,Interstate 20 (I-20),Logistics,8.73,29.58,2523.87,515.14,5.8,Medium,2023
Aurora Trade Partners,United Kingdom,Commercial,Cubicle Partition,Ship,Shinkansen Osaka-Kyoto,Retailers,2.09,40.88,6647.11,186.83,6.8,High,2023
Vertex Industries,Turkey,Electric,Smart Plug,Truck,Tokyo Narita Airport,Warehouses,18.84,35.12,2313.7,247.9,7.2,High,2020
Zenith Supply Co.,Switzerland,Commercial,Projector,Ship,Paris Orly Airport,Suppliers,6.99,21.65,9566.78,236.37,4.9,Low,2023
Apex Logistics,Vietnam,Transportation,Radiator,Ship,Interstate 85 (I-85),Retailers,15.78,30.87,8495.76,269.52,3.7,Low,2021
Frontier Supply Co.,New Zealand,Commercial,Cubicle Partition,Air,London Heathrow Airport,Warehouses,15.02,29.76,5616.5,258.52,4.5,Low,2019
Proxima Trading Co.,Russia,Electric,LED Bulb,Truck,Amsterdam Airport Schiphol,Warehouses,6.54,10.24,3540.98,924.04,4.6,Low,2020
Stellar Supply Co.,Malaysia,Residential,Heater,Train,Port of New York and New Jersey,Retailers,12.69,6.57,5051.21,930.49,8.5,High,2022
Vertex Industries,Turkey,Transportation,Air Filter,Train,Interstate 20 (I-20),Retailers,10.71,1.78,2689.07,462.2,7.3,Low,2023
Pinnacle Resources,Peru,Electric,Smart Plug,Truck,Gatwick Airport,Retailers,4.96,29.21,5901.73,748.47,9,Low,2021
Elevation Supply Chain,Portugal,Commercial,Whiteboard,Truck,Interstate 25 (I-25),Warehouses,2.3,6.38,2339.51,983.15,9.5,Low,2023
Terra Logistics,India,Commercial,Whiteboard,Train,Port of Jebel Ali,Manufacturers,17.92,19.96,1443.38,280.61,5.9,High,2019
Radiant Logistics,South Africa,Electric,Battery Charger,Truck,Schiphol Airport,Warehouses,2.12,10.01,6774.66,71,6.5,High,2019
Terra Logistics,India,Commercial,Projector,Ship,Interstate 40 (I-40),Suppliers,2.35,22.39,6646.42,320.16,5.1,Low,2018
Spectrum Enterprises,France,Commercial,Printer,Truck,Eurostar London-Brussels,Retailers,11.65,46.91,8212.72,456.84,4.4,Medium,2022
Apex Logistics,Vietnam,Residential,Lamp,Train,Eurostar London-Brussels,Logistics,1.52,49.52,1692.72,374.62,4.6,High,2021
Horizon Supplies,Netherlands,Commercial,Cubicle Partition,Train,Shinkansen Tokyo-Osaka,Warehouses,9,47.37,2636.02,284.35,7.9,Low,2021
Nova Trade Solutions,Italy,Electric,Surge Protector,Train,Eurostar London-Brussels,Warehouses,2.65,17.29,3062.57,755.35,6,Medium,2023
Infinity Traders,Norway,Transportation,Car Battery,Air,Port of Long Beach,Suppliers,13.9,33.04,1034.01,35.58,6.7,High,2020
Pinnacle Resources,Peru,Transportation,Tire,Truck,Interstate 70 (I-70),Warehouses,12.21,34.02,9972.63,826.69,8,High,2021
Elevation Supply Chain,Portugal,Industrial,Conveyor Belt,Train,Port of Felixstowe,Warehouses,6.62,46.57,445.93,986.47,5.9,Medium,2020
Terra Logistics,India,Commercial,Projector,Truck,Frankfurt Airport,Warehouses,12.9,20.87,2463.14,444.5,4.5,Medium,2020
Apex Logistics,Vietnam,Residential,Washing Machine,Air,LAX Airport,Retailers,10.82,42.65,4513.4,398.14,5.7,Low,2023
Vertex Supply Partners,Saudi Arabia,Industrial,Industrial Robot,Ship,Port of Zeebrugge,Suppliers,7.03,13.16,5920.77,515.11,10.1,Low,2019
Quantum Distributors,Colombia,Transportation,Oil Filter,Truck,Port of Long Beach,Suppliers,9.01,28.62,3813.84,271.71,7.1,High,2022
Quantum Distributors,Colombia,Commercial,Projector,Truck,Port of Antwerp,Wholesalers,16.84,27.18,7770.97,830.17,4.7,High,2023
Spectrum Supplies,Japan,Residential,Heater,Truck,Thalys Amsterdam-Cologne,Warehouses,15.6,2.83,9268.16,502.22,4,Medium,2018
Zenith Supply Co.,Switzerland,Electric,Wall Socket,Train,Gatwick Airport,Logistics,7.18,15.81,1518.29,72.22,8.3,High,2021
Quantum Logistics,Indonesia,Industrial,Pneumatic Tool,Ship,Interstate 80 (I-80),Retailers,3.01,42.46,2704.13,817.04,9.4,High,2020
Omega Trading Solutions,Argentina,Transportation,Headlight,Air,Frankfurt-Munich,Manufacturers,15.37,29.66,9092.84,179.27,5.1,Low,2020
Omega Trading Solutions,Argentina,Commercial,Cubicle Partition,Train,Hamburg Port,Warehouses,14.42,38.77,1776.77,256.44,4.7,Medium,2018
Proxima Trading Co.,Russia,Industrial,CNC Machine,Air,Interstate 55 (I-55),Suppliers,12.86,38.13,2755.58,412.07,5.2,Low,2022
Atlas Trading Co.,Singapore,Electric,Electric Fan,Truck,Interstate 35 (I-35),Suppliers,19.54,4.25,7024.1,673.09,7.5,Medium,2018
Spectrum Supplies,Japan,Residential,Television,Air,Eurostar London-Brussels,Manufacturers,4.88,9.43,8587.79,26.5,6.1,High,2018
Spectrum Trading Solutions,Mexico,Electric,Smart Plug,Train,Paris Orly Airport,Wholesalers,4.41,17.63,2291.68,881.12,7.2,High,2021
Terra Logistics,India,Transportation,Oil Filter,Truck,Interstate 70 (I-70),Logistics,16.25,22.92,1171.3,586.89,7.6,Low,2018
Spectrum Enterprises,France,Electric,Wall Socket,Ship,Interstate 55 (I-55),Warehouses,18.14,10.75,4248.17,158.85,5,High,2021
Aurora Logistics,Hungary,Electric,Smart Plug,Air,Eurostar London-Brussels,Suppliers,18.04,20.18,1245.9,322.58,8.9,Medium,2021
Omega Trading Solutions,Argentina,Commercial,File Cabinet,Ship,Interstate 85 (I-85),Logistics,7.15,6.82,3317.73,217.5,7.8,Medium,2019
Apex Logistics,Vietnam,Electric,Extension Cord,Ship,Dubai Port,Warehouses,18.53,41.31,3358.47,193.32,6.6,High,2019
Radiant Logistics,South Africa,Industrial,CNC Machine,Train,Tokyo Narita Airport,Manufacturers,16.83,42.47,8966.38,882.47,6.9,High,2021
Titan Resource Partners,Kenya,Commercial,Whiteboard,Air,Port of Rotterdam,Suppliers,8.15,25.24,5490.91,623.35,6.9,Low,2021
Vanguard Supply,China,Industrial,Forklift,Ship,Port of Valencia,Manufacturers,14.14,23.92,7442.4,780.25,5.6,High,2022
Stellar Solutions,South Korea,Commercial,Projector,Truck,Hong Kong International Airport,Wholesalers,6.07,41.77,6879.16,574.82,9.6,High,2019
Radiant Logistics,South Africa,Electric,Smart Plug,Ship,Port of Los Angeles,Logistics,6.06,25.29,9181.09,376.67,6.9,High,2022
Elevate Enterprises,Greece,Electric,Electric Fan,Ship,Frankfurt-Munich,Retailers,1.21,28.76,6674.38,663.43,6.6,High,2023
Vanguard Resources,Taiwan,Commercial,Coffee Maker,Air,Thalys Amsterdam-Cologne,Logistics,7.8,33.4,2106.44,100.29,8.1,High,2023
Nexus Procurement,Germany,Electric,Surge Protector,Truck,Interstate 90 (I-90),Wholesalers,7.21,13.3,2624.68,820.28,5.3,Medium,2023
Celestial Supply Chain,Chile,Industrial,Industrial Fan,Ship,Interstate 95 (I-95),Warehouses,3.25,18.23,578.74,140.06,9.5,Low,2019
Infinity Traders,Norway,Transportation,Oil Filter,Ship,Amsterdam Airport Schiphol,Retailers,17.36,26.95,8790.19,730.28,7.1,High,2019
Ascend Supply Chain,Bangladesh,Residential,Vacuum Cleaner,Train,Shinkansen Osaka-Kyoto,Wholesalers,9.14,4.42,6458.35,816.54,6.4,Medium,2022
Aurora Trade Partners,United Kingdom,Commercial,Desk Chair,Truck,Port of Singapore,Warehouses,11.88,44.02,4667.13,107.56,8.5,Low,2021
Proxima Trading Co.,Russia,Commercial,Shredder,Ship,Interstate 5 (I-5),Wholesalers,1.62,29.72,6188.78,626.26,8.2,Medium,2021
Ascend Supply Chain,Bangladesh,Electric,Solar Panel,Train,Port of Hong Kong,Suppliers,16.62,3.04,608.46,320.12,5.3,Low,2022
Quantum Distributors,Colombia,Industrial,Welding Machine,Truck,Thalys Paris-Brussels,Suppliers,13.94,26.26,2067.31,623.32,4.3,Medium,2018
Celestial Resources,Ireland,Electric,Smart Plug,Truck,Port of Valencia,Retailers,6.4,6.34,1189.07,61.28,6.3,Low,2019
Horizon Supplies,Netherlands,Residential,Heater,Truck,Interstate 5 (I-5),Wholesalers,19.15,26.4,1628.32,760.26,7.7,Low,2022
Radiant Traders,Venezuela,Electric,Power Strip,Air,Eurostar London-Paris,Warehouses,13.69,2.24,605.27,759.66,6.1,High,2018
Ascend Distribution,Sweden,Residential,Refrigerator,Truck,Port of Singapore,Manufacturers,5.58,37.7,3686.21,912.71,7.8,High,2021
Nova Resource Group,Ukraine,Transportation,Shock Absorber,Train,Port of New York and New Jersey,Suppliers,6.01,8.83,5752.65,896.22,6.6,Low,2021
Pinnacle Trading Co.,Singapore,Electric,Solar Panel,Truck,Route 66 (Chicago to Los Angeles),Wholesalers,2.86,39.11,3660.26,24.68,8.4,High,2018
Eclipse Distributors,Denmark,Commercial,Coffee Maker,Ship,London Heathrow Airport,Manufacturers,8.7,32.1,1575.77,930.77,8.5,Low,2023
Titan Supply Chain,Egypt,Electric,Battery Charger,Air,Interstate 40 (I-40),Manufacturers,12.12,11.62,1570.18,276.65,6.6,Medium,2019
Apex Logistics,Vietnam,Electric,Electric Fan,Ship,Interstate 85 (I-85),Warehouses,7.54,49.83,8575.31,743.2,5.4,High,2023
Horizon Distribution,Chile,Transportation,Oil Filter,Truck,Port of Valencia,Wholesalers,18.38,2.6,8774.31,436.59,4.7,Medium,2019
Celestial Supply Chain,Chile,Transportation,Radiator,Air,Thalys Paris-Brussels,Suppliers,8.29,36.88,7528.02,799.34,6,High,2023
Vertex Supply Partners,Saudi Arabia,Industrial,Hydraulic Pump,Air,Hamburg Port,Warehouses,7.41,34.82,3276.35,570.37,6.7,Medium,2020
Quantum Logistics,Indonesia,Transportation,Oil Filter,Truck,Port of Hamburg,Suppliers,15.92,32.44,1271.49,69.81,8.7,Low,2020
Ascend Distribution,Sweden,Industrial,Air Compressor,Air,Hong Kong International Airport,Logistics,17.15,27.83,7956.2,297.19,8.8,High,2023
Titan Resource Partners,Kenya,Electric,Extension Cord,Truck,Interstate 5 (I-5),Warehouses,17.73,44.84,7062.14,454.26,4.9,Medium,2022
Pinnacle Trading Co.,Singapore,Transportation,Tire,Truck,Port of Valencia,Logistics,7.81,23.33,341.39,240.25,4.7,High,2023
Zenith Supply Co.,Switzerland,Transportation,Tire,Truck,Thalys Paris-Brussels,Suppliers,15.4,35.89,5735.54,497.62,5.6,High,2021
Summit Procurement,Thailand,Electric,Electric Fan,Train,Port of New York and New Jersey,Wholesalers,13.15,22.14,8183.71,11.03,6,High,2020
Spectrum Trading Solutions,Mexico,Residential,Washing Machine,Train,Port of Antwerp,Logistics,8.98,45.51,7195.35,331.91,4,High,2018
Proxima Trading Co.,Russia,Electric,Battery Charger,Air,Eurostar Brussels-London,Warehouses,9.88,49.02,9293.19,372.12,7.9,Medium,2021
Vertex Industries,Turkey,Electric,Electric Fan,Ship,Port of Singapore,Suppliers,18.76,46.01,3989.5,103.63,5.6,High,2018
Ascend Supply Chain,Bangladesh,Industrial,Industrial Fan,Truck,Port of Shanghai,Logistics,5.26,19.77,7290.43,169.11,5.7,Low,2020
Elevate Enterprises,Greece,Commercial,Whiteboard,Train,Paris Orly Airport,Wholesalers,8.09,16.72,8497.65,859.77,6.4,High,2018
Titan Supply Chain,Egypt,Transportation,Radiator,Truck,Haneda Airport,Warehouses,12.1,41.77,328.59,512.45,6.1,Low,2023
Apex Logistics,Vietnam,Residential,Refrigerator,Train,Port of Rotterdam,Manufacturers,13.69,41.72,4848.58,617.5,6.5,Low,2021
Spectrum Trading Solutions,Mexico,Industrial,CNC Machine,Air,Paris Charles de Gaulle Airport,Retailers,6.93,12.49,6827.66,271.72,7,Low,2022
Infinity Traders,Norway,Commercial,Desk Chair,Truck,Hamburg Port,Wholesalers,2.76,10.98,3392.05,402.86,4.9,High,2018
Infinity Logistics,Malaysia,Electric,LED Bulb,Train,LAX Airport,Suppliers,11.1,31.09,3871.06,988.32,6.4,Medium,2019
Aurora Logistics,Hungary,Transportation,Shock Absorber,Air,Amsterdam Airport Schiphol,Suppliers,17.56,19.05,3625.48,583.7,8.4,Medium,2018
Infinity Traders,Norway,Industrial,Hydraulic Pump,Truck,Shinkansen Osaka-Kyoto,Retailers,13.71,11.23,3644.17,347.06,8.2,Low,2020
Nova Enterprises,Philippines,Commercial,Printer,Ship,Port of Singapore,Warehouses,15.62,39.66,9688.47,429.77,6.2,High,2023
Vertex Supply Partners,Saudi Arabia,Electric,Solar Panel,Truck,Gatwick Airport,Suppliers,14.82,38.81,4662.27,847.77,8.2,Medium,2020
Proxima Trading Co.,Russia,Industrial,Industrial Robot,Truck,Thalys Paris-Brussels,Logistics,16.05,7.65,5268.52,378.33,5.7,Low,2021
Frontier Supply Co.,New Zealand,Electric,Solar Panel,Air,Interstate 40 (I-40),Logistics,6.65,33.24,4479.99,302.57,7.4,High,2019
Celestial Resources,Ireland,Industrial,Forklift,Truck,Interstate 10 (I-10),Logistics,8.07,29.21,6448.47,675.06,6.1,Low,2022
Proxima Supply Co.,United Arab Emirates,Electric,Smart Plug,Truck,Port of Singapore,Logistics,3.79,15.24,6469.3,528.22,8.7,High,2021
Celestial Resources,Ireland,Electric,Power Strip,Truck,Thalys Paris-Brussels,Suppliers,11.88,39.08,6918.51,692.48,7.9,Low,2018
Vanguard Supply,China,Industrial,Hydraulic Pump,Truck,Interstate 5 (I-5),Retailers,14.95,47.7,6712.8,417,6.2,Low,2021
Vanguard Supply,China,Industrial,Lathe,Air,Interstate 40 (I-40),Suppliers,5.59,24.96,2827.9,831.96,4,Low,2019
Aurora Trade Partners,United Kingdom,Industrial,Conveyor Belt,Train,Port of Hong Kong,Retailers,15.33,43.28,8128.67,160.24,7.8,High,2022
Omega Trading Solutions,Argentina,Commercial,Coffee Maker,Air,Port of Singapore,Logistics,16.1,22.19,933.8,45.97,7.1,Low,2021
Stellar Supply Co.,Malaysia,Transportation,Alternator,Truck,Port of New York and New Jersey,Logistics,13.36,49.53,271.71,735.91,6.1,Low,2019
Atlas Trading Co.,Singapore,Commercial,Cubicle Partition,Truck,Paris Charles de Gaulle Airport,Warehouses,5.51,30.19,971.96,764.91,5.7,Medium,2019
Titan Supply Chain,Egypt,Transportation,Car Battery,Train,Interstate 55 (I-55),Wholesalers,16.98,9.13,8708.48,368.93,8.1,Medium,2022
Terra Resources,Uruguay,Industrial,Welding Machine,Air,Interstate 15 (I-15),Logistics,3.84,12.13,1806.59,429.92,7.1,High,2020
Spectrum Enterprises,France,Commercial,Coffee Maker,Ship,Interstate 65 (I-65),Retailers,2.22,26.72,4719.98,64.69,6.5,Low,2020
Zenith Logistics,Brazil,Commercial,Printer,Truck,Port of Felixstowe,Wholesalers,11.29,11.87,5917.55,626.23,5.8,High,2019
Nova Resource Group,Ukraine,Industrial,Welding Machine,Ship,Eurostar London-Paris,Manufacturers,2.3,45.28,9883.23,468.48,9.9,Low,2022
Infinity Logistics,Malaysia,Industrial,Industrial Robot,Air,Interstate 70 (I-70),Suppliers,9.9,46.35,9229.84,266.39,7.1,High,2020
Apex Supply Co.,Canada,Electric,Smart Plug,Train,Interstate 15 (I-15),Retailers,12.28,22.57,4939.95,206.48,4.3,Medium,2023
Horizon Distribution,Chile,Industrial,Forklift,Truck,Port of Singapore,Retailers,9.17,37.72,979.3,956.94,7.6,Medium,2022
Infinity Logistics,Malaysia,Commercial,File Cabinet,Air,Hamburg Port,Suppliers,2.6,42.14,2666.9,829.79,5.8,Low,2018
Eclipse Enterprises,Australia,Electric,Electric Fan,Ship,Thalys Paris-Brussels,Retailers,14.51,2.78,2049.88,332.94,8.1,Medium,2018
Nova Trade Solutions,Italy,Commercial,Desk Chair,Air,Port of Valencia,Retailers,3.13,43.53,188.56,828.24,5.6,Medium,2022
Vanguard Resources,Taiwan,Electric,Battery Charger,Truck,Shinkansen Tokyo-Osaka,Suppliers,8.17,13.95,6836.53,877.74,7.4,Medium,2019
Ascend Supply Chain,Bangladesh,Electric,LED Bulb,Train,Port of New York and New Jersey,Wholesalers,5.43,44.97,7215.09,880.47,6.6,High,2022
Aurora Logistics,Hungary,Residential,Microwave,Truck,Interstate 80 (I-80),Warehouses,9.78,29.45,5818.58,494.23,4.4,Low,2022
Elevate Enterprises,Greece,Commercial,Coffee Maker,Air,Gatwick Airport,Manufacturers,19.1,1.31,1001.65,860.56,5.3,High,2020
Eclipse Distributors,Denmark,Industrial,Industrial Fan,Air,Haneda Airport,Suppliers,12.13,7.8,4422.45,722.85,6.4,Low,2022
Celestial Supply Chain,Chile,Electric,Smart Plug,Ship,Port of Antwerp,Suppliers,6.77,24.19,7588.61,355.43,4.9,Medium,2021
Proxima Supply Co.,United Arab Emirates,Industrial,Air Compressor,Truck,Thalys Paris-Brussels,Warehouses,16.47,16.96,8712.32,437.88,7.7,Low,2018
Ascend Supply Chain,Bangladesh,Industrial,Industrial Robot,Ship,Thalys Paris-Brussels,Wholesalers,7.56,43.3,5473.26,602.47,4.5,Medium,2021
Elevate Enterprises,Greece,Transportation,Oil Filter,Ship,Port of Antwerp,Retailers,6.3,19.19,9135.86,836.24,6.3,High,2023
Frontier Supply Co.,New Zealand,Electric,Surge Protector,Air,London Heathrow Airport,Manufacturers,19.43,18.9,6017.75,422.75,7.3,Low,2019
Radiant Logistics,South Africa,Electric,Smart Plug,Air,London Heathrow Airport,Retailers,10.6,6.78,8140.21,342.27,6,Low,2018
Spectrum Supplies,Japan,Commercial,Projector,Air,Eurostar Brussels-London,Manufacturers,17.53,45.46,8476.91,784.47,8.1,Medium,2018
Summit Distribution,Poland,Electric,Power Strip,Train,Interstate 25 (I-25),Wholesalers,12.8,4.74,7027.85,928.22,4.2,High,2020
Stellar Solutions,South Korea,Industrial,Industrial Fan,Truck,Interstate 15 (I-15),Manufacturers,7.8,24.39,9412.11,234.02,8.1,Medium,2020
Summit Distribution,Poland,Residential,Refrigerator,Air,Interstate 70 (I-70),Logistics,19.27,3.23,265.53,214.9,4.8,Medium,2018
Spectrum Trading Solutions,Mexico,Electric,Extension Cord,Truck,Interstate 35 (I-35),Logistics,9.81,29.48,9733.86,601.56,7.7,Medium,2018
Atlas Trading Co.,Singapore,Electric,Smart Plug,Train,Port of Jebel Ali,Retailers,18.22,33.3,6291.05,850.78,5.6,Medium,2019
Vertex Industries,Turkey,Commercial,Shredder,Train,Port of Zeebrugge,Suppliers,7.14,34.18,7429.05,134.52,7.2,Low,2021
Nexus Procurement,Germany,Commercial,Projector,Train,Shinkansen Tokyo-Osaka,Retailers,10.11,21.53,8815.59,999.25,7.3,High,2021
Quantum Logistics,Indonesia,Commercial,Cubicle Partition,Ship,Gatwick Airport,Wholesalers,8.06,46.04,8538.09,781.02,6.1,Low,2021
Quantum Logistics,Indonesia,Residential,Vacuum Cleaner,Ship,Port of Hamburg,Logistics,2.37,37.99,9010.48,215.57,7.5,Low,2018
Apex Supply Co.,Canada,Commercial,Projector,Train,Hamburg Port,Retailers,10.22,19.07,2805.89,404.6,5.1,Medium,2020
Spectrum Trading Solutions,Mexico,Electric,Surge Protector,Train,Thalys Paris-Brussels,Wholesalers,11.83,29.59,5294.14,42.71,5.1,Medium,2021
Terra Resources,Uruguay,Industrial,Conveyor Belt,Ship,Port of Tanjung Priok,Logistics,3.72,16.32,4308.85,263.26,6.2,Medium,2020
Spectrum Enterprises,France,Industrial,Hydraulic Pump,Ship,Hong Kong International Airport,Wholesalers,13.27,9.5,2036.16,786.74,5.6,Low,2018
Frontier Supply Co.,New Zealand,Industrial,Industrial Robot,Air,Paris Orly Airport,Retailers,10.45,40.17,7788.16,778.51,7.9,High,2023
Apex Logistics,Vietnam,Residential,Microwave,Ship,Frankfurt Airport,Warehouses,17.46,22.15,8581.99,415.8,5.9,Low,2023
Atlas Trading Co.,Singapore,Commercial,Cubicle Partition,Ship,Port of Jebel Ali,Suppliers,8.14,16.73,7165.72,337.6,8.1,Low,2021
Celestial Supply Chain,Chile,Residential,Lamp,Air,Interstate 20 (I-20),Logistics,18.68,4.84,9165.04,892.96,7.1,Low,2021
Quantum Distributors,Colombia,Electric,Wall Socket,Truck,Interstate 15 (I-15),Retailers,2.05,3.02,5651.84,269.03,8.8,Low,2022
Celestial Resources,Ireland,Commercial,Whiteboard,Ship,Port of Hamburg,Logistics,8.88,20.54,6599.81,203.31,6.8,Medium,2018
Vertex Industries,Turkey,Commercial,Desk Chair,Ship,Hamburg Port,Warehouses,12.02,33.49,2510.26,363.5,5.4,Low,2020
Proxima Trading Co.,Russia,Transportation,Headlight,Ship,Eurostar London-Brussels,Logistics,16.62,16.58,2524.14,158.67,6.2,Low,2022
Nova Enterprises,Philippines,Commercial,Coffee Maker,Train,Paris Charles de Gaulle Airport,Retailers,17.36,26.57,760.34,925.24,7.6,Low,2022
Horizon Supplies,Netherlands,Industrial,Industrial Fan,Train,Tokyo Narita Airport,Manufacturers,9.41,44.44,6237.45,942.43,4.7,High,2022
Titan Resource Partners,Kenya,Transportation,Tire,Train,Port of Shanghai,Manufacturers,2.81,39.46,9814.44,488.71,7.4,Medium,2023
Ascend Distribution,Sweden,Transportation,Air Filter,Train,Amsterdam Airport Schiphol,Logistics,18.87,21.01,543.72,956.64,7.5,Low,2020
Summit Procurement,Thailand,Electric,LED Bulb,Train,Eurostar London-Brussels,Warehouses,6.26,25.51,3373.34,689.21,4.5,Low,2021
Horizon Distribution,Chile,Commercial,File Cabinet,Truck,Dubai Port,Manufacturers,6.19,18.49,6065,47.61,5,High,2020
Titan Supply Chain,Egypt,Transportation,Brake Pad,Air,Port of Antwerp,Logistics,16.44,26.7,402.43,212.77,7.7,Medium,2020
Apex Supply Co.,Canada,Commercial,Desk Chair,Train,Frankfurt Airport,Wholesalers,10.99,44.39,2097.48,44.67,9.6,Medium,2021
Vertex Supply Partners,Saudi Arabia,Commercial,Conference Table,Ship,Port of Jebel Ali,Warehouses,2.41,43.26,7415.38,606.02,6.4,Low,2018
Radiant Traders,Venezuela,Electric,Surge Protector,Air,Shinkansen Osaka-Kyoto,Warehouses,1.75,25.3,1292.21,668.25,7.8,Low,2021
Apex Logistics,Vietnam,Residential,Dishwasher,Ship,Port of Busan,Warehouses,16.06,14.57,9246.67,861.37,6.6,Low,2018
Infinity Traders,Norway,Residential,Air Conditioner,Air,Frankfurt-Munich,Warehouses,18.69,2.96,3333.22,706.91,5.6,High,2019
Nova Resource Group,Ukraine,Commercial,Conference Table,Train,Gatwick Airport,Warehouses,15.3,8.19,5694.4,785.85,5.2,High,2023
Celestial Supply Chain,Chile,Electric,Extension Cord,Train,Port of Hamburg,Logistics,6.05,45.76,4253.33,376.02,7.4,High,2020
Atlas Trading Co.,Singapore,Transportation,Tire,Ship,Port of Rotterdam,Wholesalers,10.1,12.32,740.12,329.18,9.2,Low,2020
Eclipse Enterprises,Australia,Industrial,Welding Machine,Train,Interstate 40 (I-40),Suppliers,11.47,19.36,818.55,414.62,6.6,Low,2018
Omega Trading Solutions,Argentina,Transportation,Car Battery,Train,Port of Los Angeles,Suppliers,15.04,22.24,5698.07,85.71,9.5,Medium,2021
Eclipse Enterprises,Australia,Commercial,Cubicle Partition,Air,Port of Busan,Warehouses,14.04,14.96,9719.24,226.93,4.9,Low,2022
Radiant Logistics,South Africa,Electric,Wall Socket,Train,Port of Busan,Logistics,5.75,28.46,4081.47,555.39,7.2,High,2018
Zenith Logistics,Brazil,Residential,Sofa,Train,Shinkansen Tokyo-Osaka,Logistics,9.34,47.88,843.72,914.36,7,Low,2020
Vanguard Resources,Taiwan,Transportation,Alternator,Air,Hong Kong International Airport,Manufacturers,11.57,15.08,4264.86,858.99,5.8,High,2018
Titan Resource Partners,Kenya,Transportation,Oil Filter,Truck,Gatwick Airport,Wholesalers,18.8,23.62,468.34,72.6,6.1,High,2020
Zenith Logistics,Brazil,Commercial,Office Desk,Train,Interstate 55 (I-55),Manufacturers,5.17,39.8,7145.08,254.58,7.2,Low,2018
Nova Resource Group,Ukraine,Electric,Surge Protector,Truck,Gatwick Airport,Warehouses,1.66,34.2,1699.31,516.38,6.8,Low,2023
Vanguard Resources,Taiwan,Residential,Air Conditioner,Ship,TGV Paris-Marseille,Suppliers,15.28,21.28,2110.72,627.01,6,Low,2021
Aurora Trade Partners,United Kingdom,Electric,Solar Panel,Truck,Interstate 5 (I-5),Warehouses,17.39,23.01,3310.23,666.7,6.9,High,2023
Spectrum Trading Solutions,Mexico,Industrial,Forklift,Truck,Interstate 35 (I-35),Suppliers,5.2,5.11,1499.18,546.91,7.5,High,2021
Zenith Supply Co.,Switzerland,Electric,Battery Charger,Train,Interstate 75 (I-75),Manufacturers,16.89,40.95,3046.7,518.24,10.4,Medium,2019
Radiant Logistics,South Africa,Residential,Washing Machine,Ship,Interstate 20 (I-20),Wholesalers,19.56,24.01,7292.12,312.49,5.4,Low,2021
Horizon Distribution,Chile,Electric,Smart Plug,Air,Port of Felixstowe,Logistics,18.9,21.31,992.21,740.41,3.9,High,2019
Celestial Supply Chain,Chile,Commercial,Desk Chair,Ship,Interstate 95 (I-95),Suppliers,16.42,20.74,9376.73,276.51,6,Medium,2020
Radiant Traders,Venezuela,Commercial,Projector,Train,Port of Singapore,Warehouses,10.73,16.87,3457.62,351.37,7.9,Medium,2021
Titan Resource Partners,Kenya,Transportation,Shock Absorber,Truck,Thalys Cologne-Paris,Warehouses,11.78,35.8,6025.31,175.48,6.5,High,2018
Stellar Solutions,South Korea,Transportation,Headlight,Ship,Port of Busan,Retailers,8.67,18.34,1745.31,361.14,8.1,High,2021
Vertex Supply Partners,Saudi Arabia,Industrial,Industrial Robot,Train,Amsterdam Airport Schiphol,Wholesalers,13.31,27.97,9653.86,159.49,5.6,Medium,2023
